iter	Logloss
0	0.6877588762
1	0.6822448656
2	0.676256857
3	0.6709649724
4	0.6655454845
5	0.6597960067
6	0.6550646986
7	0.6494236451
8	0.6441979608
9	0.6389894649
10	0.6336724968
11	0.628874933
12	0.6235150529
13	0.6182262988
14	0.6131649404
15	0.6086221066
16	0.60363569
17	0.598946325
18	0.594548622
19	0.5901325822
20	0.5856379745
21	0.5812592907
22	0.5768603747
23	0.5725727477
24	0.5681999131
25	0.5641369985
26	0.5601202131
27	0.5556749429
28	0.5518669625
29	0.5476282549
30	0.5438808166
31	0.5396970692
32	0.5363613595
33	0.5324139607
34	0.5285833952
35	0.5249136254
36	0.5208949097
37	0.5176379036
38	0.5137836097
39	0.5102116014
40	0.5063635385
41	0.5028993999
42	0.4995286153
43	0.4965604086
44	0.4936669066
45	0.490262267
46	0.4872814561
47	0.4844545656
48	0.480997676
49	0.4774332917
50	0.4739357383
51	0.4707534235
52	0.468035071
53	0.4649093937
54	0.4617338277
55	0.4590093375
56	0.4559220682
57	0.4525951092
58	0.4496459844
59	0.4468554657
60	0.4440828462
61	0.4409284654
62	0.4387162484
63	0.4360183223
64	0.4332170961
65	0.4306619813
66	0.4278774857
67	0.4249169778
68	0.4225249106
69	0.4198571563
70	0.4170372315
71	0.4143556464
72	0.411805585
73	0.4090468096
74	0.4064529241
75	0.4041259452
76	0.4017576315
77	0.399597631
78	0.3970802011
79	0.3951312323
80	0.3930844466
81	0.3905824993
82	0.3884086326
83	0.3858588282
84	0.3838621308
85	0.3814360603
86	0.3793167226
87	0.376974014
88	0.374682601
89	0.3728037709
90	0.3704929996
91	0.3681610198
92	0.3659365102
93	0.3638230888
94	0.361679786
95	0.3594699892
96	0.3576225882
97	0.3556639167
98	0.3538361519
99	0.3517451564
100	0.3496941327
101	0.3477738816
102	0.3460159496
103	0.3439494426
104	0.3423632353
105	0.3405279926
106	0.3385768099
107	0.3365627407
108	0.3351565326
109	0.3332464827
110	0.3313646782
111	0.3296969029
112	0.3279464787
113	0.3260456554
114	0.3242661655
115	0.3225633487
116	0.3206924062
117	0.3187435039
118	0.3172221958
119	0.3156256707
120	0.3153631456
121	0.3136128438
122	0.3122788472
123	0.3106052823
124	0.3093493729
125	0.3078004774
126	0.3062473711
127	0.3046216908
128	0.3029552107
129	0.3014885963
130	0.300122383
131	0.2985470566
132	0.2969526121
133	0.2956080554
134	0.2941059275
135	0.2926071777
136	0.2912288019
137	0.2898220897
138	0.2883635109
139	0.2868941146
140	0.2858044275
141	0.2844648123
142	0.2830229577
143	0.2816839072
144	0.2804064788
145	0.2788869032
146	0.277621876
147	0.2762894006
148	0.2750185431
149	0.2735548721
150	0.2723053131
151	0.2710562588
152	0.2697947692
153	0.2686954506
154	0.2674696134
155	0.2661967317
156	0.2650800706
157	0.2638524148
158	0.2625656949
159	0.2613402884
160	0.2603027939
161	0.2592727211
162	0.2583388896
163	0.257089427
164	0.2558999173
165	0.2548409916
166	0.2537112644
167	0.2526276501
168	0.2515246327
169	0.2505986358
170	0.2494644354
171	0.2484798073
172	0.2473176201
173	0.246172349
174	0.2452997567
175	0.2441373316
176	0.2432286692
177	0.2421304481
178	0.2410778145
179	0.240048442
180	0.238901373
181	0.2377819538
182	0.2367311317
183	0.2359285423
184	0.235194159
185	0.2341742024
186	0.2332152609
187	0.2322119725
188	0.2313349724
189	0.230404249
190	0.2294475742
191	0.2284534092
192	0.2276337372
193	0.2266529041
194	0.2256775806
195	0.2248413602
196	0.2238550531
197	0.2228442592
198	0.2219202095
199	0.2210211066
200	0.220206997
201	0.2193785186
202	0.2184640186
203	0.2175107901
204	0.2165129328
205	0.2157790882
206	0.2157143518
207	0.2148970324
208	0.2140116042
209	0.2132371527
210	0.2122573181
211	0.2114097018
212	0.2104905005
213	0.2098083685
214	0.2089259401
215	0.208033464
216	0.2071515486
217	0.2064723225
218	0.2056899432
219	0.2050029613
220	0.2042611483
221	0.2035273536
222	0.2027789025
223	0.2019854829
224	0.2011208159
225	0.200345578
226	0.1995264177
227	0.1988551047
228	0.198216196
229	0.19743736
230	0.1968022954
231	0.1960763817
232	0.1953967252
233	0.194672941
234	0.1938924127
235	0.19314798
236	0.1923671822
237	0.1916008448
238	0.1908199553
239	0.1900679913
240	0.1894256429
241	0.1886985035
242	0.1879488724
243	0.1873388052
244	0.1866319148
245	0.1859264504
246	0.1853132149
247	0.1846673684
248	0.1842321976
249	0.1836193892
250	0.1830053013
251	0.1822759886
252	0.1815735767
253	0.1808314245
254	0.1803221164
255	0.1797289473
256	0.1789993632
257	0.1783361651
258	0.1776844477
259	0.1771665682
260	0.1764897975
261	0.1758252951
262	0.1752968241
263	0.1747291922
264	0.1740918545
265	0.1734164129
266	0.1727513991
267	0.172270972
268	0.1717075538
269	0.1711481639
270	0.1706441914
271	0.1705887136
272	0.1699005574
273	0.1693051847
274	0.168762764
275	0.1681207315
276	0.1674871213
277	0.1668684542
278	0.1663699057
279	0.1657974673
280	0.1653522266
281	0.164855847
282	0.1642746698
283	0.1637486848
284	0.1632077238
285	0.1626795681
286	0.1621309979
287	0.1616746984
288	0.1612378082
